nuclide,OILDecayConst
H-3,1.78405461929292E-009
Be-7,1.50742893875167E-007
C-11,0.0005665744
C-14,3.85606191398049E-012
F-18,0.0001052424
Na-22,8.44750102221022E-009
Na-24,1.28712402893826E-005
Mg-28+,9.20587537599205E-006
Al-26,3.06548855086315E-014
Si-32+,1.66511764467339E-010
P-32,5.62471907174956E-007
P-33,3.16595770009329E-007
S-35,9.16756577766701E-008
Cl-36,7.30217704640823E-014
K-42,1.5577741382595E-005
Sc-47,2.39535913413245E-006
V-48,5.02240386392238E-007
V-49,2.43107176122315E-008
Cr-51,2.89596130747637E-007
Fe-52+,2.32677804820391E-005
Fe-55,0.000000008
Fe-59,1.80301984763151E-007
Co-57,2.95228409952028E-008
Co-60,4.16966458173293E-009
Ni-63,2.19575953143744E-010
Cu-64,1.51606994873129E-005
Cu-67,0.000003114
Zn-65,3.28711661560125E-008
Ga-67,0.00000246
Ga-68,0.0001706166
Ge-68+,2.96089197713098E-008
As-72,7.40541859572591E-006
As-73,9.99070586804035E-008
Se-75,0.000000067
Kr-85,0.000000002
Rb-83,9.30688725294246E-008
Sr-82,3.16346088802697E-007
Sr-85,1.23728204997477E-007
Sr-89,1.58767797586313E-007
Sr-90+,7.63444005199332E-010
Y-88,7.52230362122494E-008
Y-90,3.00375793274374E-006
Y-91,1.37113943121456E-007
Zr-88,9.6193486954873E-008
Zr-95+,1.25289492941598E-007
Nb-95,2.29274293733714E-007
Mo-99+,2.91994060492681E-006
Tc-95m+,1.3151699691863E-007
Tc-96,1.87442448879355E-006
Tc-99,1.04119151632822E-013
Tc-99m,3.20101219432874E-005
Ru-97,2.76639200415048E-006
Ru-103+,2.04343780235262E-007
Ru-106+,2.1474174394487E-008
Rh-105,5.44516073215141E-006
Pd-103+,4.72163899242917E-007
Pd-109+,1.40528481803691E-005
Ag-111,1.07685057879683E-006
Cd-109+,1.73873793065375E-008
In-111,2.86039034906992E-006
Sn-117m,0.000000583
Sb-124,1.3326473109695E-007
Te-123m,6.72749418200118E-008
Te-132+,2.50391286268302E-006
I-123,1.45094863216936E-005
I-124,1.92110555843784E-006
I-125,1.35059542290175E-007
I-129,1.39997152291011E-015
I-131,1.00022900894391E-006
Xe-127,2.20399362968033E-007
Xe-133,1.53014243983147E-006
Cs-131,0.000000828
Cs-134,1.06448822693185E-008
Cs-137+,7.28593497873139E-010
Ba-133,2.08931111308829E-009
Ce-141,2.46786539068426E-007
Ce-144+,2.81581440175368E-008
Pr-143,5.91196522626117E-007
Pm-147,8.37826976812105E-009
Pm-149,3.62737158042339E-006
Sm-153,4.14066416105105E-006
Eu-152,1.62366498557205E-009
Eu-154,2.55784393223423E-009
Gd-148,2.94632076537383E-010
Gd-153,3.33716173545607E-008
Dy-165,0.000082494
Dy-166+,2.35956965059894E-006
Ho-166,7.18436132421171E-006
Ho-166m,1.83162940914073E-011
Er-169,8.53461362982596E-007
Tm-170,6.23836455057263E-008
Yb-169,2.50500743522026E-007
Yb-175,0.000001917
Lu-177,1.20694099774882E-006
W-188+,0.000000115
Re-186,2.15758190894667E-006
Re-188,1.13232700240457E-005
Ir-192,1.08666704756206E-007
Ir-194,9.98656034693328E-006
Au-198,2.97663479930261E-006
Au-199,2.55576196624288E-006
Hg-203,1.72113121342925E-007
Tl-201,2.64072969454786E-006
Tl-204,5.8146965369547E-009
Bi-207,6.68071517011817E-010
Bi-212+,0.000190792
Bi-213,0.0002533988
Po-210,0.000000058
At-211+,2.66898923605314E-005
Rn-222+,2.09821807559472E-006
Ra-223+,7.01884235523745E-007
Ra-224+,2.19194994864383E-006
Ra-226+,1.37372205685555E-011
Ac-225+,8.02253681203641E-007
Th-227+,4.29471992079037E-007
Th-228+,1.14979875024528E-008
Th-230,2.91583349823412E-013
Th-232,1.56438099001344E-018
U-232,3.19006573435251E-010
U-234,8.95297470863087E-014
U-235+,3.12209558376261E-017
U-238+,4.91932697172981E-018
Np-237+,1.0251657140713E-014
Pu-238,2.50622040019256E-010
Pu-239,9.11636371202355E-013
Pu-240,3.3484998338953E-012
Pu-241,1.53167616095392E-009
Pu-242,5.86121410925034E-014
Am-241,5.0855050693403E-011
Am-243+,2.98230025911652E-012
Cm-242,4.92784816464153E-008
Cm-244,1.21433993976181E-009
Cm-248,6.31596347979563E-014
Bk-249,2.43107176122315E-008
Cf-249,6.26198088595122E-011
Cf-252,8.30984987133791E-009
239Pu/9Be,9.11636371202355E-013
241Am/9Be,5.0855050693403E-011
